timestamp,open,high,low,close
20230213,1.06779,1.07273,1.06540,1.07110
20230210,1.07366,1.07527,1.06650,1.06754
20230209,1.07099,1.07907,1.07065,1.07398
20230208,1.07247,1.07607,1.07080,1.07099
20230207,1.07251,1.07664,1.06670,1.07253
20230206,1.07814,1.07990,1.07080,1.07252
20230203,1.09086,1.09401,1.07910,1.07929
20230202,1.09890,1.10327,1.08850,1.09092
20230201,1.08610,1.10010,1.08500,1.09900
20230131,1.08488,1.08750,1.08000,1.08626
20230130,1.08644,1.09137,1.08370,1.08480
20230127,1.08918,1.09002,1.08360,1.08649
20230126,1.09150,1.09294,1.08490,1.08916
20230125,1.08848,1.09237,1.08560,1.09154
20230124,1.08710,1.08979,1.08330,1.08851
20230123,1.08672,1.09267,1.08440,1.08715
20230120,1.08310,1.08590,1.08010,1.08549
20230119,1.07928,1.08400,1.07810,1.08308
20230118,1.07872,1.08873,1.07650,1.07940
20230117,1.08205,1.08699,1.07730,1.07877
20230116,1.08333,1.08741,1.08000,1.08198
20230113,1.08506,1.08680,1.07790,1.08302
20230112,1.07566,1.08670,1.07292,1.08522
20230111,1.07322,1.07775,1.07240,1.07562
20230110,1.07280,1.07595,1.07100,1.07326
20230109,1.06409,1.07606,1.06360,1.07292
20230106,1.05200,1.06480,1.04816,1.06413
20230105,1.06020,1.06314,1.05130,1.05200
20230104,1.05461,1.06354,1.05390,1.06033
20230103,1.06646,1.06836,1.05170,1.05460
20230102,1.07031,1.07087,1.06489,1.06656
20221230,1.06610,1.07131,1.06370,1.07025
20221229,1.06100,1.06916,1.06078,1.06609
20221228,1.06360,1.06745,1.06050,1.06110
20221227,1.06360,1.06694,1.06100,1.06390
20221226,1.06100,1.06364,1.05965,1.06332
20221223,1.05928,1.06330,1.05850,1.06172
20221222,1.06052,1.06594,1.05720,1.05965
20221221,1.06231,1.06455,1.05890,1.06039
20221220,1.06062,1.06586,1.05770,1.06232
20221219,1.05880,1.06579,1.05740,1.06060
20221216,1.06250,1.06631,1.05827,1.05839
20221215,1.06812,1.07363,1.05910,1.06269
20221214,1.06317,1.06952,1.06170,1.06815
20221213,1.05355,1.06733,1.05260,1.06324
20221212,1.05281,1.05802,1.05040,1.05367
20221209,1.05542,1.05882,1.05018,1.05329
20221208,1.05048,1.05649,1.04880,1.05540
20221207,1.04660,1.05498,1.04410,1.05029
20221206,1.04902,1.05329,1.04570,1.04650
20221205,1.05300,1.05948,1.04780,1.04877
20221202,1.05258,1.05450,1.04270,1.05325
20221201,1.04041,1.05340,1.03906,1.05257
20221130,1.03283,1.04288,1.02880,1.04041
20221129,1.03385,1.03945,1.03174,1.03280
20221128,1.03706,1.04969,1.03277,1.03388
20221125,1.04070,1.04293,1.03522,1.03950
20221124,1.03953,1.04485,1.03800,1.04087
20221123,1.03028,1.04052,1.02946,1.03954
20221122,1.02404,1.03082,1.02374,1.03030
20221121,1.03230,1.03332,1.02206,1.02411
20221118,1.03589,1.03960,1.03110,1.03235
20221117,1.03936,1.04065,1.03027,1.03608
20221116,1.03480,1.04385,1.03290,1.03942
20221115,1.03259,1.04818,1.02780,1.03478
20221114,1.03382,1.03586,1.02690,1.03265
20221111,1.02076,1.03642,1.01610,1.03538
20221110,1.00070,1.02219,0.99334,1.02080
20221109,1.00708,1.00882,0.99908,1.00103
20221108,1.00185,1.00963,0.99703,1.00728
20221107,0.99055,1.00345,0.99013,1.00190
20221104,0.97491,0.99665,0.97410,0.99581
20221103,0.98199,0.98396,0.97280,0.97480
20221102,0.98745,0.99760,0.98107,0.98146
20221101,0.98818,0.99543,0.98508,0.98746
20221031,0.99567,0.99658,0.98706,0.98814
20221028,0.99649,0.99980,0.99250,0.99630
20221027,1.00810,1.00937,0.99554,0.99643
20221026,0.99659,1.00887,0.99415,1.00797
20221025,0.98706,0.99769,0.98470,0.99660
20221024,0.98832,0.98992,0.98047,0.98690
20221021,0.97852,0.98692,0.97030,0.98610
20221020,0.97724,0.98455,0.97524,0.97842
20221019,0.98611,0.98725,0.97549,0.97715
20221018,0.98393,0.98755,0.98110,0.98620
20221017,0.97223,0.98522,0.97180,0.98400
20221014,0.97755,0.98086,0.97060,0.97190
20221013,0.97048,0.98060,0.96290,0.97771
20221012,0.97031,0.97351,0.96660,0.97050
20221011,0.97026,0.97747,0.96690,0.97027
20221010,0.97382,0.97531,0.96800,0.97016
20221007,0.97914,0.98170,0.97250,0.97410
20221006,0.98852,0.99265,0.97846,0.97915
20221005,0.99830,0.99949,0.98330,0.98839
20221004,0.98219,0.99997,0.98020,0.99828
20221003,0.97954,0.98446,0.97490,0.98210
20220930,0.98172,0.98539,0.97310,0.98003
20220929,0.97335,0.98240,0.96320,0.98167
20220928,0.95947,0.97508,0.95320,0.97332
20220927,0.96091,0.96710,0.95650,0.95940
